7265|ABRILAR PORTA FRISADA CURUPIXA 210X60 PSS02|44182000||5405|60|0|01|1,65%|01|7,60%|
7260|ABRILAR PORTA FRISADA CURUPIXA 210X60 PSS03|44182000||5405|60|0|01|1,65%|01|7,60%|
7270|ABRILAR PORTA FRISADA CURUPIXA 210X60 PSS07|44182000||5405|60|0|01|1,65%|01|7,60%|
7267|ABRILAR PORTA FRISADA CURUPIXA 210X70 PSS02|44182000||5405|60|0|01|1,65%|01|7,60%|
7262|ABRILAR PORTA FRISADA CURUPIXA 210X70 PSS03|44182000||5405|60|0|01|1,65%|01|7,60%|
7271|ABRILAR PORTA FRISADA CURUPIXA 210X70 PSS07|44182000||5405|60|0|01|1,65%|01|7,60%|
7276|ABRILAR PORTA FRISADA CURUPIXA 210X70 PSS13|44182000||5405|60|0|01|1,65%|01|7,60%|
7274|ABRILAR PORTA FRISADA CURUPIXA 210X70 PSS14|44182000||5405|60|0|01|1,65%|01|7,60%|
7268|ABRILAR PORTA FRISADA CURUPIXA 210X80 PSS02|44182000||5405|60|0|01|1,65%|01|7,60%|
7264|ABRILAR PORTA FRISADA CURUPIXA 210X80 PSS03|44182000||5405|60|0|01|1,65%|01|7,60%|
7273|ABRILAR PORTA FRISADA CURUPIXA 210X80 PSS07|44182000||5405|60|0|01|1,65%|01|7,60%|
7257|ABRILAR PORTA LISA FILETADA CURUPIXA 210X60 PSS57|44182000||5405|60|0|01|1,65%|01|7,60%|
7258|ABRILAR PORTA LISA FILETADA CURUPIXA 210X70 PSS57|44182000||5405|60|0|01|1,65%|01|7,60%|
7259|ABRILAR PORTA LISA FILETADA CURUPIXA 210X80 PSS57|44182000||5405|60|0|01|1,65%|01|7,60%|
8307|ACIOLE CALCO TELHA OND GRANDE 2F FC BRANCO|39259090|10.016.00|5405|60|0|01|1,65%|01|7,60%|
6269|ACORDOLAR MASSA ACRILICA 27KG|32141020||5405|60|0|01|1,65%|01|7,60%|
6270|ACORDOLAR MASSA ACRILICA 5,6KG|32141020||5405|60|0|01|1,65%|01|7,60%|
6267|ACORDOLAR MASSA CORRIDA 27KG|32141020||5405|60|0|01|1,65%|01|7,60%|
6268|ACORDOLAR MASSA CORRIDA 5,6KG|32141020||5405|60|0|01|1,65%|01|7,60%|
7967|ACORDOLAR TINTA ACR. PISOS E MUROS FOSCO AMARELO DEMARCACAO 18L|32091010|24.001.00|5405|60|0|01|1,65%|01|7,60%|
9345|ACORDOLAR TINTA ACR. PISOS E MUROS FOSCO AMARELO DEMARCACAO 3,6L|32091010|24.001.00|5405|60|0|01|1,65%|01|7,60%|
7966|ACORDOLAR TINTA ACR. PISOS E MUROS FOSCO AZUL 18L|32091010|24.001.00|5405|60|0|01|1,65%|01|7,60%|
9861|ACORDOLAR TINTA ACR. PISOS E MUROS FOSCO AZUL 3,6L|32091010|24.001.00|5405|60|0|01|1,65%|01|7,60%|
7969|ACORDOLAR TINTA ACR. PISOS E MUROS FOSCO CINZA 18L|32091010|24.001.00|5405|60|0|01|1,65%|01|7,60%|
9859|ACORDOLAR TINTA ACR. PISOS E MUROS FOSCO CINZA 3,6L|32091010|24.001.00|5405|60|0|01|1,65%|01|7,60%|
