Codigo|Produtos|Codigo.Fiscal Regime Simples|Codigo.Fiscal Regime Normal|NCM|CST ICMS|CST PIS/ COFINS NA ENTRADA|CST PIS/ COFINS NA SAÍDA|CFOP
3918|MOLDURA JC 017|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3919|MOLDURA JC 018|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3920|MOLDURA JC 019|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3921|MOLDURA JC 019 C/R|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3922|MOLDURA JC 020|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3923|MOLDURA JC 021|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3924|MOLDURA JC 022|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3925|MOLDURA JC 022 C/R|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3927|MOLDURA JC 030|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3928|MOLDURA JC 031|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3929|MOLDURA JC 032|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3930|MOLDURA JC 033|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3931|MOLDURA JC 034|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3932|MOLDURA JC 035|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3933|MOLDURA JC 036|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3934|MOLDURA JC 037|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3935|MOLDURA JC 038|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3936|MOLDURA JC 039|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3937|MOLDURA JC 040|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3938|MOLDURA JC 041|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3939|MOLDURA JC 043|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3941|MOLDURA JC 044|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3942|MOLDURA JC 045|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3943|MOLDURA JC 1 X 1|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3944|MOLDURA JC 1.5 X 1.5|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3945|MOLDURA JC 2 X 2|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3946|MOLDURA JC R01|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3947|MOLDURA JC R02|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3948|MOLDURA JC R03|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3949|MOLDURA JC R04|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3950|MOLDURA JC R05|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3951|MOLDURA JC R07|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
3952|MOLDURA JC R08|44140000.5102.0101.0000|44140000.5102.0000.2000|4414.00.00|00|50|01|5102
