02061000|Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.|0|06.80|12.50
02062100|Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.|0|06.80|12.50
02062200|Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.|0|06.80|12.50
02062910|Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.|0|06.80|12.50
02062990|Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.|0|06.80|12.50
02063000|Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.|0|08.11|13.81
02064100|Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.|0|08.11|13.81
02064900|Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.|0|08.11|13.81
02068000|Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.|0|08.11|13.81
02069000|Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.|0|19.45|25.15
02071100|Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.|0|06.80|12.50
02071200|Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.|0|06.80|12.50
02071300|Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.|0|06.80|12.50
02071400|Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.|0|06.80|12.50
02072400|Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.|0|06.80|12.50
02072500|Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.|0|06.80|12.50
02072600|Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.|0|06.80|12.50
02072700|Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.|0|06.80|12.50
02074100|Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.|0|06.80|12.50
02074200|Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.|0|06.80|12.50
02074300|Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.|0|06.80|12.50
02074400|Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.|0|06.80|12.50
02074500|Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.|0|06.80|12.50
02075100|Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.|0|06.80|12.50
02075200|Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.|0|06.80|12.50
02075300|Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.|0|06.80|12.50
02075400|Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.|0|06.80|12.50
02075500|Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.|0|06.80|12.50
02076000|Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.|0|06.80|12.50
02081000|Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas.|0|18.14|23.84
02083000|Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas.|0|27.45|33.15
02084000|Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas.|0|27.45|33.15
02085000|Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas.|0|27.45|33.15
02086000|Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas.|0|27.45|33.15
02089000|Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas.|0|27.45|33.15
02091011|Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados.|0|16.11|19.88
02091019|Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados.|0|16.11|19.88
02091021|Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados.|0|16.11|19.88
02091029|Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados.|0|16.11|19.88
02099000|Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados.|0|16.11|19.88
02101100|Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas.|0|16.11|21.81
02101200|Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas.|0|16.11|21.81
02101900|Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas.|0|16.11|21.81
02102000|Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas.|0|16.11|21.81
02109100|Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas.|0|27.45|33.15
02109200|Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas.|0|31.45|37.15
02109300|Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas.|0|31.45|37.15
02109900|Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas.|0|20.11|25.81
03011110|Peixes vivos.|NT|31.45|37.15
03011190|Peixes vivos.|NT|31.45|37.15
03011900|Peixes vivos.|NT|31.45|37.15
03019110|Peixes vivos.|NT|31.45|32.05
03019190|Peixes vivos.|NT|31.45|37.15
03019210|Peixes vivos.|NT|31.45|32.05
03019290|Peixes vivos.|NT|31.45|37.15
03019310|Peixes vivos.|NT|31.45|32.05
03019390|Peixes vivos.|NT|31.45|37.15
03019410|Peixes vivos.|NT|31.45|32.05
03019490|Peixes vivos.|NT|31.45|37.15
03019510|Peixes vivos.|NT|31.45|32.05
03019590|Peixes vivos.|NT|31.45|37.15
03019911|Peixes vivos.|NT|31.45|32.05
03019912|Peixes vivos.|NT|31.45|32.05
03019919|Peixes vivos.|NT|31.45|32.05
03019991|Peixes vivos.|NT|31.45|37.15
03019992|Peixes vivos.|NT|31.45|37.15
03019999|Peixes vivos.|NT|31.45|37.15
03021100|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03021300|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03021400|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03021900|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03022100|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03022200|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03022300|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03022400|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03022900|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03023100|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03023200|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03023300|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03023400|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03023500|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03023600|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03023900|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03024100|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03024210|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03024290|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03024300|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03024400|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03024500|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03024600|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03024700|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03025100|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|20.71
03025200|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03025300|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
03025400|Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.|0|20.11|25.81
