000000000032|ALEXANDRE DOS SANTOS MADEIREIRA ME|ALEXANDRE|14698106000115|134405188|ROD. MT 320|P URBANO|MATO GROSSO||78500-000|KM 33||MT|66-3541-1823|
000000000033|HAGA S/A|HAGA|30540991000166||AV ENG HANS|FRIBURGO|RIO DE JANEIRO||28605-220|26||RJ|22-2525-8000|
000000000034|FABRICIO DE O. LIMA|FABRICIO|05537744000163|240116652|OTR BR 171 190|ZONA RURAL|RORAINOPOLIS||69373-000|190||RR||
000000000035|PORT ROYAL|ROYAL|02609831000190||AV DAS ANERICAS|RECREIO|RIO DE JANEIRO||22785-000|13780||RJ|21-2497-6021|
000000000036|TELEMAR NORTE LESTE SA|OI FIXO|33000118000179||||||20230-070|||||
000000000037|LIGHT|LIGHT||||||||||||
000000000038|FUNCIONARIOS|FUNCIONARIOS||||||||||||
000000000039|PASSAGEM FUNCIONARIO|PASSAGEM FUNCIONARIO||||||||||||
000000000040|JOPAN MADEIRAS|JOPAN MADEIRAS||||||||||||
000000000041|CRIAMOS SITE CAMPANHA GOOGLE|CRIAMOS SITE GOOGLE||||||||||||
000000000042|ACEMIR EUCALIPTO|ACEMIR EUCALIPTO||||||||||||
000000000043|FRETES|FRETES||||||||||||
000000000044|F S REIS|F S REIS||||||||||||
000000000045|CHAT BRISA|CHAT BRISA||||||||||||
000000000046|FABRICA DE ESQUADRIAS NEUSA|NEUSA||||||||||||
000000000047|ETMADEIRAS REPRESENTACOES LTDA.|ETMADEIRAS||||||||||||
000000000048|MOLDUFORTE|MOLDUFORTE||||||||||||
000000000049|CESTA DE ALIMENTOS BRASIL LTDA.|CAB|11023891000207|78906960|||||25230-000|||||
000000000050|FGTS|FGTS||||||||||||
000000000051|EUCALIPTO ALEXANDRE|EUCALIPTO ALEXANDRE||||||||||||
000000000052|ERMARE REPRESENTACOES|ERMARE REPRESENTACOE||||||||||||
000000000053|CONTADOR|CONTADOR||||||||||||
000000000054|CLARO|CLARO||||||||||||
000000000055|GRAFICA TD BELO|GRAFICA TD BELO||||||||||||
000000000056|NEXTEL|NEXTEL||||||||||||
000000000057|ARP REPRESENTACOES|ARP REPRESENT||||||||||||
000000000058|MACARANDUBA CONTEINER|MACARANDUBA CONTEIN||||||||||||
000000000059|EUCALIPTO TRATADO|EUCALIPTO TRATADO||||||||||||
000000000060|CEDAE|CEDAE||||||||||||
000000000061|FABRICA DE PORTAS UNIAO - MARGOT|FABRICA DE PORTAS UN||||||||||||
000000000062|IPTU|IPTU||||||||||||
000000000063|BANCO ITAU|BANCO ITAU||||||||||||
000000000064|ITAU CARTAO|ITAU CARTAO||||||||||||
000000000065|EUCALIPTO ACEMIR|EUCALIPTO ACEMIR||||||||||||
000000000066|JAMIL|JAMIL||||||||||||
000000000067|MARGOT VENDAS|MARGOT VENDAS||||||||||||
000000000068|ACARITA|ACARITA||||||||||||
000000000069|ICMS|ICMS||||||||||||
000000000070|ESQUADRIAS PORTO UNIAO - CRISLUZ|PORTO UNIAO||||||||||||
000000000071|BASSANI|BASSANI||||||||||||
000000000072|SUL PORTAS|SUL PORTAS||||||||||||
000000000073|RENATO GALPAO|RENATO GALPAO||||||||||||
000000000074|CONTAINER|CONTAINER||||||||||||
000000000075|APECS COMPENSADOS|APECS COMPENSADOS||||||||||||
000000000076|SIMPLES|||||||||||||
000000000077|CEDRINHO ARAO|||||||||||||
000000000078|PREGOS COBRE|||||||||||||
000000000079|RAMOS E CRUZ REPRESENTACOES DE MADEIRAS LTDA|||||||||||||
000000000080|PARAJU|PARAJU||||||||||||
000000000081|IRMAOS FRAINER|||||||||||||
000000000082|PORTAS PINTURA|||||||||||||
000000000083|BELLER ESQUADRIAS|BELLER||||||||||||
000000000084|JONAS|JONAS||||||||||||
000000000085|MOTA|||||||||||||
000000000086|ALESSANDRO|ALESSANDRO||||||||||||
000000000087|PRECON INDUSTRIAL SA|PRECON|23452238000153|4930732000028|RODOVIA MG 424 KM||||33600-000|||||
000000000088|ABRAO|ABRAO||||||||||||
000000000089|GPS|GPS||||||||||||
000000000090|ROTA SUL - MARGOT|ROTA SUL - MARGOT||||||||||||
000000000091|LETREIRO|LETREIRO||||||||||||
000000000092|CEF|CEF||||||||||||
000000000093|BARRETO REPRESENTACOES|BARRETO REPRESENTAC||||||||||||
000000000094|ALEXANDRE MOLDURAS|ALEXANDRE MOLDURAS||||||||||||
