60|4|0|0000000000000|41| FECHO DE SEGURAN€A ALIAN€A 152MM                   |0|365|365
61|1|83014000|7891417100123|0| TARJETA ROCHA FG 2                                 |220|350|350
62|8|0|0000000000000|41| FECHO FIO REDONDO ROCHA 2 1/2                      |0|230|230
63|5|83014000|7891417100406|0| FECHO FIO REDONDO 3" WORKER/ROCHA                  |144|360|360
64|2|83016000|7893853221455|0| PORTA CADEADO 4,5" LOTH                            |246|550|550
65|9|83016000|7893853221400|0| PORTA CADEADO 4,0" LOTH                            |325|520|520
66|6|82054000|7891114005998|0| CHAVE DE FENDA P.CH.3/8x6 41500/150 TRAMONTIN      |545|820|820
67|3|82054000|0000000000000|0| CHAVE TESTE COMUM                                  |170|299|299
68|0|32141010|7898949356035|0| VEDA TUDO 100G MASSA EPOXI                         |660|1099|1099
69|7|0|7898011970015|41| ARCO SERRA REGUL.PINTADO MAC-2000 THOMPSON         |1070|1680|1680
70|3|82021000|0000000000000|60| ARCO DE SERRA MINI THOMPSON                        |473|790|790
71|0|0|0000000000000|0| PINO FEMEA CINZA COMUM FC                          |106|160|160
72|7|85366910|7897356523771|0| PINO MACHO CINZA COMUM FC                          |136|210|210
73|4|84819090|0000000000000|0| REPARO 080 COD.003455 CANOPLA                      |304|500|500
74|1|84819090|0000000000000|0| REPARO 038 COD.004500 DECA                         |1640|2600|2600
75|8|0|0000000000000|0| FECHAD.813/11 INT.INOX P/PORTA STAM                |0|2665|2665
76|5|83011000|0000000000000|0| CADEADO 35MM SOPRANO                               |1116|1799|1799
77|2|85365090|0000000000000|0| STARTES DE PLASTICO 20W TASCHIBRA                  |76|130|130
78|9|39269090|0000000000000|0| LONA CARRETEIRO AZUL/AMAR 2X2 ITAP                 |1463|2390|2390
79|6|35061090|7891200009824|60| CASCOLA 400gr HENKEL                               |1190|2099|2099
80|2|39269090|0000000000000|0| ABRACADEIRA PLAST.100x2,5 PRETA                    |1|15|15
81|9|39269090|0000000000000|0| ABRACADEIRA PLAST.200x3,5 PRETA                    |19|40|40
82|6|0|0000000000000|0| REPARO P/TORN.FOROSI MVI NYLON                     |0|750|750
83|3|0|0000000000000|41| REJUNT.FLEX.PESSEGO 1KG CONSTRUCOLA                |156|240|240
84|0|96034010|0000000000000|0| ROLO 1012 15cm POLIESTER CINZA COMPEL              |206|330|330
85|7|96034010|7896380150502|0| ROLO 1155 23cm TEXTURA RUSTICA ATLAS               |1777|2850|2850
86|4|39229000|7894061003321|0| CHUVEIRO LONGO C/REGISTRO LUCONI                   |438|690|690
87|1|39174090|7898059553201|60| SIFAO EXT.LONGO UNIVRSAL 1,5MT HERK                |510|899|899
88|8|84818019|7894023025583|0| TORN.P/JARDIM 1/2 ESFERA JAPI                      |478|790|790
89|5|84818011|0000000000000|60| TORN.PLAST P/PIA 1/2 LUCONI                        |86|170|170
90|1|84818011|0000000000000|60| TORN.PLAST P/TANQUE 1/2 LUCONI                     |86|170|170
91|8|84819090|0000000000000|0| REPARO 008 COD.003439                              |898|1450|1450
92|5|39174090|7891222207987|60| CX.GORDURA SIF.RED.25x20 SD50 CG3/V ASTRA          |3484|5550|5550
93|2|39174090|0000000000000|60| CX.SIFON.RD 250x75 LUCONI                          |1847|2990|2990
94|9|82055900|7898581772620|60| GRAMPO TIPO C (SARGENTO) 5" GUEPAR                 |1427|2450|2450
95|6|82055900|7898581772644|0| GRAMPO TIPO C (SARGENTO) 8" GUEPAR                 |2245|3990|3990
96|3|82055900|7898581772637|60| GRAMPO TIPO C (SARGENTO) 6" GUEPAR                 |1698|2890|2890
97|0|90178010|0000000000000|0| TRENA  5.0M WORKER                                 |814|1299|1299
98|7|90178010|0000000000000|0| TRENA  5.0M FOXLUX                                 |560|899|899
99|4|27101932|7898436140093|0| DESENGRIPANTE LUB FAST M500 300ml                  |359|699|699
100|7|84137080|0000000000000|0| BOMBA DANCOR CENTRIFUGA 2P/4R 1/3cv                |23060|35590|32350
101|4|84137080|0000000000000|0| BOMBA DANCOR CENTRIFUGA 2P/4R 1/2cv                |25228|39900|36400
102|1|39172300|0000000000000|60| BENJAMIN 3 SAIDAS CZ RADIAL                        |199|350|350
103|8|68062000|0000000000000|0| ARGILA SACO C/25kg ARGIGOMA                        |480|790|699
104|5|39251000|0000000000000|0| PISCINA FEIJAO 1000LTS S/TAMPA AFORT               |46552|72590|65990
105|2|0|0000000000000|41| JANELA ALUM 4F C/BASC 100X120MT METALXA            |17983|29490|25500
106|9|0|0000000000000|0| REPARO ATIVI FILTRO                                |0|585|585
107|6|76169000|0000000000000|0| BASCULANTE ALUM.C/VIDRO 50x50 METALXA              |4050|6900|6900
108|3|84818019|7891506007258|0| TORN.1004 COZ B.MOVEL BR 1/2 DURIN                 |0|1590|1590
109|0|84818019|7898436364710|0| TORN.1005 COZ B.MOVEL BG 1/2 DURIN                 |873|1590|1590
110|6|84818019|7898436364727|0| TORN.1006 COZ B.MOVEL CZ 1/2 DURIN                 |873|1590|1590
111|3|84818019|7898436364796|0| TORN.1014 COZ BUZIOS B.MOVEL CZ 1/2 DURIN          |873|1590|1590
112|0|84818019|7898436364802|0| TORN.1015 COZ BUZIOS CROM.B.MOVEL 1/2 DURIN        |1450|2690|2690
113|7|84818019|0000000000000|0| TORN.1017 LAV B.MOVEL BR 1/2 DURIN                 |0|1960|1960
114|4|84818019|0000000000000|0| TORN.1018 LAV B.MOVEL BG 1/2 DURIN                 |0|1960|1960
115|1|84818019|0000000000000|0| TORN.1019 LAV B.MOVEL CZ 1/2 DURIN                 |0|1960|1960
116|8|84818019|0000000000000|0| TORN.1021 LAV P.BELO BR 1/2 DURIN                  |0|1299|1299
117|5|84818019|0000000000000|0| TORN.1022 LAV P.BELO BG 1/2 DURIN                  |0|1299|1299
118|2|84818019|0000000000000|0| TORN.1023 LAV P.BELO CZ 1/2 DURIN                  |764|1299|1299
119|9|84818019|7898436365267|0| TORN.1024 LAV BUZIOS B.MOVEL CROM.1/2 DURIN        |1478|2650|2650
120|5|84818019|7898436365274|0| TORN.1025 LAV.BUZIOS B.MOVEL BR 1/2 DURIN          |960|1750|1750
121|2|84818019|7898436365281|0| TORN.1026 LAV BUZIOS B.MOVEL BG 1/2 DURIN          |960|1750|1750
122|9|0|0000000000000|0| TORN.1027 LAV BUZIOS B.MOVEL CZ 1/2 DURIN          |0|1750|1750
123|6|84818019|7898436365397|0| TORN.1029 LAV BUZIOS BR 1/2 DURIN                  |637|1150|1150
124|3|84818019|7898436365403|0| TORN.1030 LAV BUZIOS BG 1/2 DURIN                  |637|1150|1150
125|0|84818019|7898436365410|0| TORN.1031 LAV BUZIOS CZ 1/2 DURIN                  |637|1150|1150
126|7|0|0000000000000|0| TORN.1032 COZ BUZIOS BR 1/2 LX DURIN               |0|2440|2440
127|4|84818019|7898436365717|0| TORN.1044 LAV BUZIOS BR 1/2 LX DURIN               |1370|2470|2470
128|1|84818019|7898436366059|0| TORN.1052 TANQ/M.LAV P.BELO BR 1/2 DURIN           |988|1780|1780
129|8|0|0000000000000|0| TORN.1075 PIA P.BELO BR 1/2 DURIN                  |0|1118|1118
130|4|0|0000000000000|0| TORN.1077 TANQ P.BELO BR 10cm DURIN                |0|922|922
131|1|84818095|0000000000000|60| REG.ESFERA SOLD.C/UNIAO 32MM AMANCO                |0|2000|2000
132|8|84818095|0000000000000|60| REG.ESFERA SOLD.C/UNIAO 40MM AMANCO                |1273|2450|2450
133|5|39172300|0000000000000|60| TUBO ESGOTO 40mm C/3mt AMANCO                      |825|1550|1399
134|2|39172300|0000000000000|60| TUBO ESGOTO 50mm C/3mt AMANCO                      |1496|2650|2350
