DOBRADIÇA CURVA COMUM|2000000533520|UN|1.4100|4.5000|2.3600|0.0000|903.0000
A|2000000083537|UN|5.6900|11.4000|11.3800|0.0000|210.0000
DOBRADIÇA RETA COM AMORTECIMENTO FGTN|2000000013718|UN|1.7200|4.5000|6.5300|50.0000|1922.0000
PARAFUSO ROSCA SOBERBA 5/16X080 UNID.|PRS51680|UN|0.2100|0.9000|0.4200|0.0000|-193.0000
LEV|2000000546568|UN|0.0100|6.4500|0.0100|0.0000|6.0000
L|2000000567570|UN|0.0100|7.6500|0.0100|0.0000|0.0000
THINNER PROFISSIONAL SAYERLACK- 5LTS|7891567551103|UN|39.6000|72.5000|76.2000|0.0000|14.0000
SELADORA SAYERLACK  GALÃO- 3,6LTS|7891567249451|UN|47.2500|84.5000|70.8700|0.0000|-3.0000
SELADORA SAYERLACK 900ML|7891567246153|UN|16.0200|26.5000|23.4600|0.0000|1.0000
SUPORTE DE FENDA 06MM UNID.|49|UN|0.8200|3.0000|0.0100|0.0000|-39.0000
SUPORTE DE FENDA 08MM UNID.|50|UN|0.5700|3.5000|1.6500|0.0000|-92.0000
SUPORTE DE FENDA 10MM UNID.|51|UN|0.5700|4.0000|1.7100|0.0000|-49.0000
SUPORTE DE FENDA 12MM C/ 4 UNID.|2000000082646|UN|0.0100|13.0000|0.0100|0.0000|-3.0000
SUPORTE DE FENDA 15MM C/ 4 UNID.|2000000096650|UN|0.0100|27.6000|0.0100|0.0000|-3.0000
SUPORTE DE FENDA 20MM UNID.|54|UN|0.0100|9.5000|0.0100|0.0000|9983.0000
LIXA CINTA 610X75 GRÃO 100|2000000006673|UN|0.0100|6.0000|0.0100|0.0000|1000.0000
LIXA CINTA 610X75 GRÃO 080|2000000006680|UN|0.0100|6.0000|0.0100|0.0000|1000.0000
LIXA CINTA 610X75 GRÃO 060|2000000100692|UN|0.0100|6.0000|0.0100|0.0000|1000.0000
LIXA CINTA 610X75 GRÃO 050|2000000006703|UN|0.0100|6.0000|0.0100|0.0000|100.0000
LIXA CINTA 610X75 GRÃO 040|2000000006710|UN|0.0100|6.0000|0.0100|0.0000|100.0000
LIXA CINTA 610X75 GRÃO 036|2000000006727|UN|0.0100|6.0000|0.0100|0.0000|100.0000
PERFIL PORTA E PUXADOR BRONZE 7035 DO 7034|7035B|UN|85.6600|93.5000|42.2400|0.0000|5.0000
PÉ DE ALUMINIO QUADRADO COM BASE PLÁSTICA 06CM|P6Q|UN|3.6700|7.3500|7.3400|0.0000|1.0000
PÉ DE ALUMINIO QUADRADO COM BASE PLÁSTICA 15CM|PQ15|UN|6.3700|12.7500|11.8200|0.0000|48.0000
CHAVE DE FENDA PHILIPHS  1/8X3''  JOMARCA|2000000551760|UN|0.7700|1.2900|1.1600|0.0000|0.0000
CHAVE DE FENDA RETA TOCO 1/4X1.1/2 LOTUS|4048|UN|1.7600|7.1000|4.8800|0.0000|-1.0000
TRAVA DE BICICLETA 3 DIGITO 65CM LOTUS|5900|UN|5.7000|16.9000|6.3600|0.0000|1.0000
PROLONGADOR 25CM|2000000092799|UN|14.5000|24.1700|21.7500|0.0000|997.0000
PROLONGADOR 20CM|2000000902807|UN|10.4500|17.4300|15.6800|0.0000|9998.0000
PROLONGADOR 15CM|2000005871818|UN|8.9300|14.8900|13.4000|0.0000|994.0000
PROLONGADOR 10CM|2000000251820|UN|7.6000|12.6700|11.4000|0.0000|995.0000
PROLONGADOR 08 CM|2000005931833|UN|6.9800|11.6400|10.4700|0.0000|9994.0000
PROLONGADOR 05 CM|2000000421841|UN|6.2000|10.3400|9.3000|0.0000|988.0000
FECHO VAI E VEM 60MM|2000000057859|UN|0.0100|7.5000|0.0100|0.0000|0.0000
TRINCO GANCORRA PCT.|282|UN|0.0100|15.2000|0.0100|0.0000|-1.0000
PARAFUSO P/ CAMA FENDADO 5/16X120MM|PC516|UN|0.0100|2.2500|0.0100|0.0000|-171.0000
LIXA D' ÁGUA GRÃO 600|2000000012544|UN|0.8400|2.0000|1.0400|0.0000|48.0000
PASSA FIO 60MM UNID.|4647U|UN|0.0100|2.5000|0.0100|0.0000|-7897717034603.0000
PASSA FIO 46MM UNID.|4654U|UN|0.0100|1.8000|0.0100|0.0000|394.0000
PASSA FIO PVC   S/ ALMA DE  AÇO 20M|4|UN|5.4600|10.9500|0.0100|0.0000|1.0000
PASSA FIO PRETO 60MM UNID.|4648U|UN|0.0100|2.0000|0.0100|0.0000|973.0000
PISTÃO Á GÁS NORMAL 100N FGVTN|P100|UN|3.6300|7.5000|8.4400|10.0000|-75.0000
PISTÃO Á GÁS NORMAL 080N FGVTN|P80|UN|3.6300|7.5000|8.4400|10.0000|-72.0000
PISTÃO Á GÁS NORMAL 120N FGVTN|P120|UN|4.4000|7.5000|8.4400|10.0000|-532.0000
TAPA FURO ADESIVO BRANCO LISO 13MM CARTELA C/50|2000000045962|UN|0.9800|3.0000|1.9600|0.0000|-242.0000
TAPA FURO ADESIVO BRANCO TX 18MM CARTELA C/ 20 UNID.|2000000085975|UN|0.8600|3.5000|1.7200|0.0000|-87.0000
RODIZIO SILICONE 35CM C/ FREIO COMUM|RC35|UN|3.5700|10.5000|7.1200|24.0000|-103.0000
RODIZIO SILICONE 35CM S/ FREIO COMUM|RS35|UN|3.0000|8.5000|6.3200|12.0000|-205.0000
RODIZIO SILICONE 50CM S/ FREIO COMUM|RS50|UN|3.5200|9.9000|6.9800|12.0000|-251.0000
RODIZIO SILICONE 50CM C/ FREIO COMUM|RC50|UN|3.9900|10.5000|10.3000|12.0000|-15.0000
RODIZIO SILICONE 75CM C/ FREIO COMUM|RC75|UN|9.5300|21.0000|15.5800|12.0000|-59.0000
RODIZIO SILICONE 75CM S/ FREIO COMUM|RS75|UN|8.6200|19.0000|14.3400|12.0000|-72.0000
FORMÃO CABO AZUL 1/4 UYUSTOOLS|2000008911047|UN|9.9000|16.5000|14.8500|0.0000|8.0000
FORMÃO CABO AZUL 3/8'  UYUSTOOLS|2000005021053|UN|10.2500|17.0900|15.3800|0.0000|8.0000
FORMÃO CABO AZUL 5/8''  UYUSTOOLS|2000006121066|UN|10.8000|18.0000|16.2000|0.0000|8.0000
FORMÃO CABO MADEIRA 7/8''  LOTUS|6364|UN|6.9700|19.9000|16.8800|0.0000|6.0000
FORMÃO CABO MADEIRA 3/8'' MONFORT|7897937437718|UN|6.2400|13.5000|24.3000|0.0000|5.0000
PARAFUSO P/ MDF CENTO 6.0X80|680C|UN|0.0100|18.5500|0.0100|0.0000|4.0000
PARAFUSO P/ MDF CENTO 6.0X70|670C|UN|0.0100|17.0000|0.0100|0.0000|5.0000
PARAFUSO P/ MDF CENTO 6.0X60|660C|UN|19.7200|28.0000|0.0100|0.0000|2000.0000
PARAFUSO P/ MDF CENTO 6.0X50|650C|UN|11.4600|25.0000|0.0100|0.0000|499.0000
PARAFUSO P/ MDF CENTO 6.0X45|645C|UN|0.0100|24.5000|0.0100|0.0000|-2.0000
PARAFUSO P/ MDF CENTO 6.0X40|640C|UN|0.0100|23.0000|0.0100|0.0000|-8.0000
PARAFUSO P/ MDF CENTO 6.0X35|635C|UN|0.0100|21.9000|0.0100|0.0000|-1.0000
PARAFUSO P/ MDF CENTO 6.0X30|630C|UN|0.0100|17.5000|0.0100|0.0000|1090.0000
PARAFUSO P/ MDF CENTO 6.0X25|625C|UN|0.0100|21.9000|0.0100|0.0000|992.0000
PARAFUSO P/ MDF  6X70 UNID.|670U|UN|0.0100|0.3500|0.0100|0.0000|99071.0000
PARAFUSO P/ MDF CENTO 5X60|560C|UN|0.0100|19.9000|0.0100|0.0000|1.0000
PARAFUSO P/ MDF CENTO 5X50|550C|UN|0.0100|23.9000|0.0100|0.0000|-2.0000
PARAFUSO P/ MDF CENTO 5X45|545C|UN|10.5200|19.4500|0.0100|0.0000|497.0000
PARAFUSO P/ MDF CENTO 5X40|540C|UN|0.0100|18.9000|0.0100|0.0000|-22.0000
PARAFUSO P/ MDF CENTO 5X35|535C|UN|0.0100|18.0000|0.0100|0.0000|9954.0000
PARAFUSO P/ MDF CENTO 5X30|530C|UN|0.0100|17.5000|0.0100|0.0000|99946.0000
BUCHA DE NYLON 10MM C/ 25 UNID.|B10|UN|0.0100|7.5000|0.0100|0.0000|-77.0000
PARAFUSO P/ MDF CENTO 4.5X50|4550C|UN|0.0100|22.6000|0.0100|0.0000|0.0000
PARAFUSO P/ MDF CENTO 4.5X40|4540C|UN|0.0100|17.5000|0.0100|0.0000|-34.0000
PARAFUSO P/ MDF CENTO 4.5X35|4535C|UN|0.0100|16.9000|0.0100|0.0000|-2.0000
PARAFUSO P/ MDF CENTO 4.5X30|4530C|UN|0.0100|16.0000|0.0100|0.0000|-25.0000
PARAFUSO P/ MDF CENTO 4.5X25|4525C|UN|0.0100|14.5000|0.0100|0.0000|-37.0000
PARAFUSO P/ MDF CENTO 4.5X20|4520C|UN|0.0100|14.0000|0.0100|0.0000|-28.0000
PARAFUSO P/ MDF CENTO 4.0X50|450C|UN|7.8500|19.3000|0.0100|0.0000|-1.0000
PARAFUSO P/ MDF CENTO 4.0X45|445C|UN|0.0100|17.2500|0.0100|0.0000|-41.0000
PARAFUSO P/ MDF CENTO 4.0X40|440C|UN|0.0100|15.5000|0.0100|0.0000|-7.0000
PARAFUSO P/ MDF CENTO 4.0X35|435C|UN|5.6500|13.0000|0.0100|0.0000|0.0000
PARAFUSO P/ MDF CENTO 4.0X30|430C|UN|0.0100|11.6000|0.0100|0.0000|-37.0000
PARAFUSO P/ MDF CENTO 4.0X25|425C|UN|0.0100|10.5000|0.0100|0.0000|-56.0000
PARAFUSO P/ MDF CENTO 4.0X20|420C|UN|0.0100|10.0000|0.0100|0.0000|-57.0000
PARAFUSO P/ MDF CENTO 4.0X16|416C|UN|0.0100|9.9000|0.0100|0.0000|-170.0000
PARAFUSO P/ MDF CENTO 3.5X35|3535C|UN|0.0100|13.5000|0.0100|0.0000|-4.0000
PARAFUSO P/ MDF CENTO 3.5X30|3530C|UN|0.0100|11.5000|0.0100|0.0000|-2.0000
PARAFUSO P/ MDF CENTO 3.5X25|3525C|UN|0.0100|9.8000|0.0100|0.0000|-45.0000
PARAFUSO P/ MDF CENTO 3.5X20|3520C|UN|0.0100|8.5000|0.0100|0.0000|-22.0000
PARAFUSO P/ MDF CENTO 3.5X16|3516C|UN|0.0100|8.0000|0.0100|0.0000|99876.0000
PARAFUSO P/ MDF CENTO 3.5X14|3514C|UN|0.0100|7.5000|0.0100|0.0000|-65.0000
PARAFUSO P/ MDF CENTO 3.0X30|330C|UN|0.0100|8.9000|0.0100|0.0000|-35.0000
PARAFUSO P/ MDF CENTO 3.0X25|325C|UN|0.0100|8.3000|0.0100|0.0000|-58.0000
PARAFUSO P/ MDF CENTO 3.0X20|320C|UN|0.0100|7.9000|0.0100|0.0000|-15.0000
SERROTE 14'' LOTUS|5778|UN|11.9900|25.5000|27.6800|0.0000|1.0000
SERROTE COSTA 14'' UYUSTOOLS|2000009921519|UN|14.9500|24.9300|22.4200|0.0000|5.0000
JOGO CHAVE TORX 9 PÇS VAZADA BESTFER|7899206165568|UN|11.4300|35.9000|57.6800|0.0000|4.0000
PAQUIMETRO DIGITAL INOX 150MM LOTUS|5572|UN|51.2100|102.5000|37.4200|0.0000|1.0000
MULTIMETRO DIGITAL RAYCO|7898338093442|UN|22.0100|44.5000|23.3200|0.0000|5.0000
ESPATULA 10CM ATLAS|7896380191628|UN|3.5400|9.2500|9.0200|0.0000|2.0000
ESPATULA 6CM ATLAS|7896380191604|UN|2.5200|6.5000|6.4400|0.0000|-4.0000
PRUMO DE CENTRO 400G FAMASTIL|7896367704032|UN|13.3500|22.3000|20.0200|0.0000|1.0000
PRUMO DE AÇO CILINDRICO 300G FLEX LOTUS|3942|UN|5.3600|14.6500|13.1600|0.0000|0.0000
LIMA TRIANGULAR 4''  STARRET|7891265673909|UN|8.9500|33.2000|13.4200|0.0000|-1.0000
LIMA REDONDA  8''  UYUSTOOLS|2000009121605|UN|10.9500|18.2600|16.4200|0.0000|0.0000
LIMA ENXADA 8'' MTX|7899612783172|UN|6.2900|13.9000|21.1000|0.0000|6.0000
CHAVE GRIFO 10'' FLEX LOTUS|8940|UN|9.4100|28.2500|85.0800|0.0000|1.0000
