PQ. EQUITATIVA|CAXIAS|105.00
PQ. ESPERANÇA|BELFORD ROXO|80.00
PQ. FELICIDADE|CAXIAS|65.00
PQ. FERREIRAS|BELFORD ROXO|80.00
PQ. FLUMINENSE|CAXIAS|65.00
PQ. INDEPENDÊNCIA|CAXIAS|100.00
PQ. MUIZA|BELFORD ROXO|70.00
PQ. PAULISTA|CAXIAS|105.00
PQ. REAL|BELFORD ROXO|90.00
PQ. SÃO VICENTE |BELFORD ROXO|95.00
PQ. SR DO BONFIM|CAXIAS|70.00
PQ. SUECIA|BELFORD ROXO|85.00
PQ. TELES MENEZES|SÃO JOÃO  |100.00
PQ. TIETE|SÃO JOÃO|80.00
PQ. UNIÃO|BELFORD ROXO|80.00
PQ. VITORIA|CAXIAS|70.00
PRAÇA MAUA|RIO DE JANEIRO|120.00
PRAÇA SECA|RIO DE JANEIRO|120.00
PRAINHA|CAXIAS|85.00
QUEIMADOS|CENTRO|165.00
RAMOS|RIO DE JANEIRO|95.00
CORTE OITO|CAXIAS|65.00
COSME VELHO|RIO DE JANEIRO|145.00
COSMOS|RIO DE JANEIRO|180.00
CURICICA|RIO DE JANEIRO|165.00
DELCASTILHO |RIO DE JANEIRO|115.00
DR. LAUREANO|CAXIAS|50.00
DUARTE DA SILVEIRA|PETRÓPOLIS|200.00
DUQUE DE CAXIAS|CENTRO|65.00
ENGENHO DE DENTRO|RIO DE JANEIRO|125.00
ENGENHO DO PORTO|CAXIAS|85.00
ENGENHOCA |NITERÓI|165.00
ESTÁCIO|RIO DE JANEIRO|120.00
FIGUEIRA|CAXIAS|100.00
FLAMENGO|RIO DE JANEIRO|130.00
FONSECA|NITERÓI|165.00
FRADE|ANGRA DOS REIS|550.00
FRAGOSO|MAGÉ|130.00
FREGUESIA|RIO DE JANEIRO|160.00
FRIBURGO|CENTRO|450.00
FURNAS|CAXIAS|70.00
GARDÊNIA AZUL|JACAREPAGUÁ-RJ|165.00
GÁVEA|RIO DE JANEIRO|140.00
GLÓRIA|RIO DE JANEIRO|130.00
GRAJAÚ|RIO DE JANEIRO|130.00
GRAMACHO A/LIN|CAXIAS|45.00
GRAMACHO D/LIN|CAXIAS|60.00
GRANDE|MAGÉ|200.00
GUADALUPE|RIO DE JANEIRO|105.00
GUAPIMIRIM|CENTRO|225.00
GUARATIBA|RIO DE JANEIRO|225.00
HIGIENÓPOLIS|RIO DE JANEIRO|115.00
HONÓRIO GURGEL|RIO DE JANEIRO|105.00
HUMAITÁ|RIO DE JANEIRO|135.00
ICARAÍ|NITERÓI|165.00
ILHA DE GUARATIBA|CAMPO GRANDE |220.00
ILHA DO FUNDÃO|RIO DE JANEIRO|110.00
ILHA DO GOVERNADOR|RIO DE JANEIRO|115.00
IMBARIE|CAXIAS|115.00
INGÁ|NITERÓI|165.00
INHAÚMA|RIO DE JANEIRO|115.00
IPANEMA|RIO DE JANEIRO|145.00
IRAJÁ|RIO DE JANEIRO|95.00
ITABORAÍ|CENTRO|265.00
ITAGUAI|CENTRO|210.00
ITAIPÚ|MARICA|190.00
ITAIPUACÚ|MARICA|230.00
ITATIAIA|CAXIAS|60.00
JACARÉ|RIO DE JANEIRO|115.00
JACARÉPAGUA|RIO DE JANEIRO|175.00
JACATIRÃO|CAXIAS|65.00
JD CATARINA |SÃO GONÇALO|190.00
JD ROMA|NOVA IGUAÇU|165.00
