0049|TABUAS PINUS 20CM C/300 2.1|PC||67.105|20.00|7.60|12.70|1||500|12.70|0.00|0.00|0.00|12.70|4407.99.90|5.405|408.0000
0050|SARR.PINUS 15CM C/300 2.1|PC||66.667|20.00|5.70|9.50|1||500|0.00|0.00|0.00|0.00|9.50|4407.99.90|5.405|652.0000
0051|SARR.PINUS 10CM C/300 2.1|PC||68.421|20.00|3.80|6.40|1||500|6.40|0.00|0.00|0.00|6.40|4407.11.00|5.405|341.0000
0052|SARR.PINUS 7 CM C/3,00 2.3|PC||83.333|20.00|2.40|4.40|1||500|0.00|0.00|0.00|0.00|4.40|4407.11.00|5.405|-198.0000
0053|SARR.PINUS 5CM C/300 2.3|PC||71.958|20.00|1.89|3.25|1||500|3.90|0.00|0.00|0.00|3.25|4407.11.00|5.405|913.0000
0056|CLIMAFOIL EXTRA|M2||111.538|20.00|2.60|5.50|3||500|0.00|0.00|0.00|0.00|5.50|7607.20.00|5.405|85.0000
0057|DOBRADICA GALVANIZADA ROCHA|UN||156.410|20.00|5.85|15.00|1||500|0.00|0.00|0.00|0.00|15.00|7607.20.00|5.405|57.0000
0058|DURALFITA 0.48 X 0.25|UN||66.174|20.00|13.54|22.50|1||500|0.00|0.00|0.00|0.00|22.50|7607.20.00|5.405|0.0000
0062|PORTA LISA PINT. MAD LEI 0.60|UN||71.739|20.00|46.00|79.00|1||500|0.00|0.00|0.00|0.00|79.00|4418.20.00|5.405|66.0000
0063|PORTA LISA PINT. MAD LEI 0.70|UN||71.739|20.00|46.00|79.00|1||500|0.00|0.00|0.00|0.00|79.00|4418.20.00|5.405|17.0000
0064|PORTA LISA PINT. MAD LEI 0.80|UN||71.739|20.00|46.00|79.00|1||500|0.00|0.00|0.00|0.00|79.00|4418.20.00|5.405|31.0000
0065|PORTA LISA PINT. MAD LEI 0.90|UN||174.390|20.00|49.20|135.00|1||500|0.00|0.00|0.00|0.00|135.00|4418.20.00|5.405|20.0000
0066|PORTA FRISADA HORIZONTAL 0.60|UN||76.471|20.00|102.00|180.00|1||500|0.00|0.00|0.00|0.00|180.00|4418.20.00|5.405|0.0000
0067|PORTA FRISADA HORIZONTAL 0.70|UN||66.667|20.00|99.00|165.00|1||500|0.00|0.00|0.00|0.00|165.00|4418.20.00|5.405|3.0000
0068|PORTA FRISADA HORIZONTAL 0.80|UN||66.667|20.00|99.00|165.00|1||500|0.00|0.00|0.00|0.00|165.00|4418.20.00|5.405|-5.0000
0070|PORTA FRISADA BELISS.070-186|UN||76.471|20.00|102.00|180.00|1||500|0.00|0.00|0.00|0.00|180.00|4418.20.00|5.405|0.0000
0071|PORTA FRISADA BELISS.080-186|UN||76.471|20.00|102.00|180.00|1||500|0.00|0.00|0.00|0.00|180.00|4418.20.00|5.405|0.0000
0072|PORTA LISA VERNIZ 0,60|UN||93.548|20.00|62.00|120.00|1||500|0.00|0.00|0.00|0.00|120.00|4418.20.00|5.405|29.0000
0073|PORTA LISA VERNIZ 0,70|UN||93.548|20.00|62.00|120.00|1||500|0.00|0.00|0.00|0.00|120.00|4418.20.00|5.405|23.0000
0074|PORTA LISA VERNIZ 0,80|UN||93.548|20.00|62.00|120.00|1||500|0.00|0.00|0.00|0.00|120.00|4418.20.00|5.405|29.0000
0076|PLASTIFICADO  14M/M / 220X110|CH||68.293|20.00|41.00|69.00|1||500|0.00|0.00|0.00|0.00|69.00|4412.39.00|5.405|-7.0000
0077|ASSOALHO CUMARU EXTRA 0.15|M2||216.327|20.00|49.00|155.00|3||500|170.50|0.00|0.00|0.00|155.00|4407.29.20|5.405|31.0000
0078|PLASTIFICADO  12M/M / 220X110|CH||59.733|20.00|37.50|59.90|1||500|0.00|0.00|0.00|0.00|59.90|4412.39.00|5.405|100.0000
0079|JIMO CUPIM 500 ML|UN||69.082|20.00|10.35|17.50|1||102|0.00|0.00|0.00|0.00|17.50|3808.91.92|5.102|0.0000
0080|JIMO CUPIM 900 ML|UN||68.421|20.00|19.00|32.00|1||102|0.00|0.00|0.00|0.00|32.00|3808.91.92|5.102|4.0000
0081|ESPUMA EXPANSIVA HAUSER|UN||85.736|20.00|13.46|25.00|1||500|0.00|0.00|0.00|0.00|25.00|3909.50.19|5.405|0.0000
0082|PREGO DE ACO 17X27 KG|UN||127.799|20.00|25.90|59.00|1||500|0.00|0.00|0.00|0.00|49.00|7317.00.90|5.405|-8.0000
0083|PREGO 18X30 C/C KG|UN||130.769|20.00|6.50|15.00|1||500|0.00|0.00|0.00|0.00|15.00|7317.00.90|5.405|-170.0000
0084|PREGO 17X27 C/C KG|UN||130.769|20.00|6.50|15.00|1||500|0.00|0.00|0.00|15.00|15.00|7317.00.90|5.405|-64.0000
0085|PREGO 16X24 C/C KG|UN||130.769|20.00|6.50|15.00|1||500|0.00|0.00|0.00|0.00|15.00|7317.00.90|5.405|-16.0000
0086|PREGO 15 X 15 C/C|UN||134.375|20.00|6.40|15.00|1||500|0.00|0.00|0.00|0.00|15.00|7317.00.90|5.405|-19.0000
0088|ARAME RECOZIDO|UN||71.429|20.00|10.50|18.00|1||500|0.00|0.00|0.00|0.00|18.00|7217.10.90|5.405|-19.0000
0087|EUCALIPTOS COM 3,00|PC||89.873|20.00|3.95|7.50|1||500|0.00|0.00|0.00|0.00|7.50|4407.99.90|5.405|-23.0000
0089|EUCALIPTOS COM 6,00|PC||87.342|20.00|7.90|14.80|1||500|0.00|0.00|0.00|0.00|14.80|4407.99.90|5.405|-244.0000
0090|VITRO RETO ITAUBA 120X120|UN||66.777|20.00|301.00|502.00|1||500|0.00|0.00|0.00|0.00|502.00|4418.10.00|5.405|2.0000
0091|MAX AIR RETO ITAUBA 80X160|UN||66.667|20.00|330.00|550.00|1||500|0.00|0.00|0.00|0.00|550.00|4418.10.00|5.405|0.0000
0093|PORTA VENEZIANA SALIGNA 60X2,10|UN||73.333|20.00|150.00|260.00|1||500|0.00|0.00|0.00|0.00|260.00|4418.20.00|5.405|12.0000
0094|PORTA VENEZIANA SALIGNA 80X2,10|UN||154.545|20.00|110.00|280.00|1||500|0.00|0.00|0.00|0.00|280.00|4418.20.00|5.405|7.0000
0095|NAVAL 15 M/M / 220X160|CH||72.634|20.00|78.20|135.00|1||500|0.00|0.00|0.00|0.00|135.00|4412.31.00|5.405|46.0000
0096|PVC MEIA CANA BRANCO 6,00|PC||95.455|20.00|11.00|21.50|1||500|0.00|0.00|0.00|0.00|21.50|3916.20.00|5.405|0.0000
0097|PVC RODAFORRO COM 6,00|PC||64.835|20.00|12.74|21.00|1||500|0.00|0.00|0.00|0.00|21.00|3916.20.00|5.405|20.0000
0099|PVC EMENDA H BRANCO 6,00|PC||68.814|20.00|14.75|24.90|1||500|0.00|0.00|0.00|0.00|24.90|3916.20.00|5.405|0.0000
0101|MOLDURA REF 038 PC 3M|PC||85.277|20.00|12.09|22.40|1||500|0.00|0.00|0.00|0.00|22.40|4414.00.00|5.405|0.0000
0200|VITRO RETO ITAUBA 140X120|UN||67.722|20.00|316.00|530.00|1||500|0.00|0.00|0.00|0.00|530.00|4418.10.00|5.405|0.0000
201|VITRO RETO ITAUBA 160X120|UN||66.667|20.00|342.00|570.00|1||500|0.00|0.00|0.00|0.00|570.00|4418.10.00|5.405|1.0000
203|VITRO RETO ITAUBA 200X120|UN||67.085|20.00|398.00|665.00|1||500|0.00|0.00|0.00|0.00|665.00|4418.10.00|5.405|1.0000
0199|VITRO RETO ITAUBA 100X100|UN||68.085|20.00|235.00|395.00|1||500|0.00|0.00|0.00|0.00|395.00|4418.10.00|5.405|0.0000
0195|VITRO RETO SALIGNA 100X100|UN||68.215|20.00|136.73|230.00|1||500|0.00|0.00|0.00|0.00|230.00|4418.10.00|5.405|0.0000
0196|VITRO RETO SALIGNA 120X120|UN||66.264|20.00|186.45|310.00|1||500|0.00|0.00|0.00|0.00|310.00|4418.10.00|5.405|0.0000
0197|VITRO RETO SALIGNA 140X120|UN||66.904|20.00|218.09|364.00|1||500|0.00|0.00|0.00|0.00|364.00|4418.10.00|5.405|0.0000
