Codigo|Descrição|Valor de Custo|Valor de Venda|Código fiscal|Lucro %
'7890100005912|MACARANDUBA SERRADA BRUTA|2.183,00 |3.760,00 ||72.24
'7890100008777|MANTA CEJATEL - 20 M2|70,00 |118,90 ||69.86
'7890100008784|MANTA CEJATEL - 50 M2|175,00 |297,10 ||
'7890100009217|MAX AR DE AR CONDICIONADA|30,00 |50,00 ||
'7890100008852|MEIA CANA DE ANGELIM|2,50 |5,00 ||100.00
'7890100008838|MEIA CANA DE CEDRINHO CERNE|2,50 |5,00 ||
'7890100008845|MEIA CANA DE CEDRINHO MESCLA|2,00 |4,10 ||
'7890100009279|MEIA LUA EUCALITPO COM 1.00 METROS|5,00 |8,60 ||
'7890100008142|PARAJU SERRADO|1.500,00 |3.000,00 ||
'7890100009316|PEROBA ROSA SERRADA EM BRUTO|1.950,00 |3.800,00 ||94.87
'7890100005899|PINUS ESPECIAL SARRAFO 05CM|1,52 |2,34 ||
'7890100005806|PINUS ESPECIAL SARRAFO 10CM|3,33 |5,09 ||52.85
'7890100005882|PINUS ESPECIAL SARRAFO 15CM|5,00 |7,69 ||
'7890100005813|PINUS ESPECIAL SARRAFO 7CM|2,50 |3,82 ||
'7890100005790|PINUS ESPECIAL TABUA 20CM|6,67 |10,19 ||52.77
'7890100005783|PINUS ESPECIAL TABUA 25CM|8,33 |12,73 ||
'7890100005769|PINUS ESPECIAL TABUA 30CM|12,31 |19,50 ||58.41
'7890100006117|PINUS PERNA 5,5 X 5,5 C/ 3 METROS|4,17 |7,30 ||75.06
'7890100007978|PINUS PERNA 6.5 X 6.5 COM 3.00 METROS|7,00 |10,82 ||54.57
'7890100005707|PINUS SARRAFO 05CM COM 3,00M|1,18 |2,00 ||
'7890100005691|PINUS SARRAFO 07CM COM 3,00M|1,66 |2,45 ||
'7890100005684|PINUS SARRAFO 10CM COM 3,00M|2,37 |4,80 ||102.53
'7890100005639|PINUS SARRAFO 15CM COM 3,00M|3,60 |6,80 ||
'7890100009156|PINUS SERRADO 13.5 X 7 COM 4,20 METROS|43,00 |100,00 ||
'7890100008227|PINUS SERRADO BRUTO|670,00 |1.177,60 ||
'7890100005646|PINUS TABUA 20CM COM 3,00M|4,75 |7,00 ||
'7890100005653|PINUS TABUA 25CM COM 3,00M|5,93 |8,76 ||
'7890100005677|PINUS TABUA 30CM COM 3,00M|12,00 |16,00 ||33.33
'7890100007749|PLASTIFICADO 12MM X 220 X 110|30,67 |55,30 |4412.39.00|
'7890100007756|PLASTIFICADO 14MM X 220 X 110|36,18 |70,00 |4412.39.00|
'7890100007763|PLASTIFICADO 17MM X 220 X 110|65,00 |79,50 |4412.39.00|
'7890100008111|PLASTIFICADO 20MM X 220 X 110|55,20 |97,60 ||
'7890100009262|PORTA BALCAO 2.10 X 2.00|2.000,00 |2.600,00 ||
'7890100007626|PORTA DE AÇ0 COM 8 VIDROS DE 80X210|150,00 |309,00 ||106.00
'7890100009170|PORTA PINTURA 70 CM X 2.10 METROS|40,00 |70,00 ||75.00
'7890100009125|PORTA PINTURA 80 CM|50,00 |70,00 ||40.00
7890100009126|PORTA QUADR. DE CORRER 2.00 X 2.10|1.500,00 |2.000,00 ||
'7890100009309|PORTA SOLIDA ANGELIM 70 CM|125,00 |170,00 ||
'7890100009293|PORTA SOLIDA ANGELIM 80 CM|150,00 |170,00 ||
'7890100007404|PORTA VENEZIANA 80 CM P/ VERNIZ|270,00 |310,00 ||
'7890100009118|PORTA VERNIZ 80 CM|100,00 |150,00 ||
'7890100006247|PORTA VERNIZ ANGELIM 60 CM|46,12 |159,10 |3214.90.00|244.97
'7890100006254|PORTA VERNIZ ANGELIM 70 CM|46,12 |159,10 |3214.90.00|244.97
'7890100009231|PORTA VIDRO 2.10 X 2.00 METROS|1.300,00 |1.700,00 ||
7890100009185|PREGO 15 X 15|8,15 |12,50 |7317.00.90|53.37
7890100009186|PREGO 17 X 27|7,72 |11,50 |7317.00.90|48.96
'7890100009187|PREGO 18 X 30|7,35 |11,50 ||56.46
'7890100009026|RIPA DE CUMARU APARELHADA 5X2,5|2,47 |7,70 ||211.74
'7890100007039|RODAPE P/ PINTURA 7 CM X 1,5 CM|3,85 |6,20 ||61.04
'7890100007824|TAPUME CANTEIRO OSB 08MM X 122 X 244|30,76 |46,70 ||
'7890100007831|TAPUME CANTEIRO OSB 12MM X 122 X 244|37,37 |56,90 ||
'7890100008197|TAPUME MULTI USO 10 MM 1.22 X 2.44|38,42 |67,30 ||75.17
'7890100008203|TAPUME MULTI USO 12MM 1.22 X 2.44|42,14 |74,30 ||
'7890100008173|TAPUME MULTI USO 8 MM 1.22 X 2.44|29,53 |53,00 ||
'7890100007794|TAPUME OSB 08MM X 122 X 220|27,63 |46,70 |4410.12.10|
'7890100007800|TAPUME OSB 10MM X 122 X 220|34,54 |58,70 ||
'7890100007817|TAPUME OSB 12MM X 122 X 220|41,45 |70,30 ||
'7890100007435|TAUARI SERRADO|1.010,00 |1.888,40 ||86.97
'7890100007541|TELHA CAPA BRANCA|1,30 |2,20 ||69.23
'7890100005288|TELHA CAPA VERMELHA|1,20 |2,16 ||80.00
'7890100007787|TELHA CUMIEIRA BRANCA|1,20 |2,20 ||83.33
'7890100008906|TELHA CUMIEIRA MESCLADA|1,20 |2,20 ||83.33
'7890100005349|TELHA CUMIEIRA VERMELHA|1,20 |2,16 ||80.00
'7890100009040|TELHA ESMALTADA 1 FACE BRANCA|1,75 |2,80 ||60.00
'7890100008739|TELHA ESMALTADA 1 FACE MARFIM|1,75 |2,90 ||65.71
'7890100008715|TELHA ESMALTADA 2 FACE CINZA CLARO|1,75 |3,50 ||100.00
'7890100008500|TELHA ESMALTADA 2 FACES BRANCA|2,60 |3,80 ||46.15
'7890100009064|TELHA ESMALTADA 2 FACES CARAMELO|2,60 |3,90 ||50.00
'7890100009057|TELHA ESMALTADA 2 FACES GRAFITE|2,60 |3,90 ||50.00
'7890100008722|TELHA ESMALTADA 2 FACES MARFIM|2,40 |3,90 ||62.50
'7890100007459|TELHA PORTUGUESA BRANCA|0,97 |2,00 ||106.19
'7890100005387|TELHA PORTUGUESA MESCLADA|0,97 |1,96 ||102.06
'7890100005394|TELHA PORTUGUESA VERMELHA|0,90 |1,80 ||100.00
'7890100007558|TELHA ROMANA VERMELHA|0,88 |1,80 ||104.55
'7890100009347|TRINCHA 4|17,30 |17,30 ||
'7890100009323|VERNIZ SPARLACK CETOL DECK|299,00 |299,00 ||
'7890100006414|VIGAS DE PINHO 7.5X015 COM 4.00|27,00 |50,40 ||
'7890100006407|VIGAS DE PINHO DE 7.5X015 COM 2.50|16,80 |31,30 ||
