  2050/3 - 1228 TORN 1/4 C44                                  |1|59.51|65.46|71.4|59.51
  2046/6 - 1229 TORN LUXO 1/4 C-43G                           |       5- |111.89|123.07|134.3|111.89
  2049/7 - 1230 TORN PIA 1/4 C-44C                            |       6- |64.2|70.62|77|64.2
  3295/7 - 1258 TORN.PIA PAREDE 1/4 VOLTA C-44                |       3- |89.62|98.59|107.5|89.62
  2051/0 - 1262 TOR PIA 1/4                                   |1|129.15|142.07|155|129.15
  1999/6 - 1262 TOR.PIA C40-C                                 |      20- |115.71|127.28|138.9|115.71
  2058/9 - 1264 TORN PIA B.MOVEL C44                          |       7- |115.68|127.25|138.8|115.68
  2000/8 - 1264 TORN.PIA B.MOVEL SUPER C40-C                  |       4- |111.41|122.55|133.7|111.41
  2052/7 - 1281 MIST PIA 1/4 C-44                             |0|196.94|216.63|236.3|196.94
  2062/6 - 1282 MIST PIA 1/4 C44                              |       5- |196.94|216.63|236.3|196.94
  2056/5 - 1294 TORN LAVAT 1/4 C-44                           |       7- |134.57|148.03|161.5|134.57
  2057/2 - 1295 TORN LAVAT 1/4                                |0|96.98|106.67|116.4|96.98
  2047/3 - 1301 DUCHA HIG C50                                 |       5- |134.57|148.03|161.5|134.57
  1343/7 - 1343                                               |0|0|0|0|0
  2063/3 - 1364 TOR PIA C-50                                  |       4- |87.69|96.46|105.2|87.69
  2065/7 - 1394 TORN LAVAT LX C43-G                           |       2- |60.27|66.3|72.3|60.27
  2064/0 - 1395 TOR LAV LX C40-C                              |1|66.29|72.92|79.6|66.29
  2003/9 - 1418 REG.PRESSAO C40-C 1/2                         |0|25.37|27.91|30.4|25.37
  2004/6 - 1418 REG.PRESSAO C40-C 3/4                         |3|27.84|30.62|33.4|27.84
  2005/3 - 1418 REG.PRESSAO C44-C 1/2                         |0|23.03|25.33|27.6|23.03
  2006/0 - 1418 REG.PRESSAO C44-C 3/4                         |0|25.02|27.52|30|25.02
  1995/8 - 1428 TOR.TANQ.XMAQ C44-P                           |      22- |68.7|75.57|82.4|68.7
  2013/8 - 1903 DUCHA FRIA FRONT LINE                         |0|73.43|80.77|88.1|73.43
   254/7 - 2 INT. SIMPLES (CLARIS)                            |       1- |8.78|9.66|10.5|8.78
   268/4 - 2 INT. SIMPLES (LUNARE)                            |4|13.64|15|16.4|13.64
  2133/3 - 2 INTERRUPTOR SIMP+1 TOMADA 20A C                  |       2- |13.47|14.82|16.2|13.47
  2120/3 - 2 INTERRUPTORES PARALELOS 10A 250V CLARIS          |0|13.06|14.36|15.7|13.06
  2136/4 - 2 INTERRUPTORES PARALELOS+1 TOM                    |9|17.54|19.29|21.1|17.54
  2134/0 - 2 INTERRUPTORES PARALELOS+1 TOM 10A                |0|17.43|19.17|20.9|17.43
  1874/6 - 2 INTERRUPTORES SIMPLES C/PL 4X2                   |0|5.73|6.3|6.9|5.73
  5372/3 - 2 TOM PAD 2P+T 10A EV FAME                         |13|20.44|22.48|24.5|20.44
  5373/0 - 2 TOM PAD 2P+T 20A EV FAME                         |1|20.44|22.48|24.5|20.44
