  1996/5 - 1158 TORN.PIA PAREDE C-44P                         |       6- |38.93|42.82|46.7|38.93|0|0
  2072/5 - 1159 TOR PIA PAREDE C-43                           |0|40.59|44.65|48.7|40.59|0|0
  4562/9 - 1159 TORN PIA C-43                                 |0|38.06|40|45.7|38.06|0|0
  5283/2 - 1159 TORN.PIA PAREDE 22CM C-44P                    |       4- |53.4|58.74|64.1|53.4|0|0
  1858/6 - 1160 TORN.PIA PAREDE 25CM C-43                     |      19- |56.35|61.98|67.6|56.35|0|0
  1987/3 - 1162 TOR.PIA B.MOVEL C-40C                         |       2- |50.25|55.28|60.3|50.25|67|67
  3622/1 - 1162 TORN PIA PAREDE BM C-40 METAL-KIT BASICO      |8|54.68|60.15|65.6|54.68|0|0
  3242/1 - 1162 TORN PIA PAREDE BM C-40C ABS-KIT BASICO       |       9- |37.18|40.9|44.6|37.18|0|0
  3621/4 - 1162 TORN PIA PAREDE BM C-44P METAL-KIT BASIC      |       9- |49.58|54.68|59.5|49.58|0|0
  1988/0 - 1162 TORN.PIA B.MOVELC-44                          |6|82.56|90.82|99.1|82.56|0|0
  3754/9 - 1162 TORN.PIA PAREDE BM C-43                       |0|35.47|38.99|42.6|35.47|0|0
  3753/2 - 1162 TORN.PIA PAREDE BM C-50P                      |       1- |38.9|42.8|46.7|38.9|0|0
  2068/8 - 1162 TRON PIA B MOVEL C-43G                        |       2- |81.07|89.18|97.3|81.07|0|0
  1990/3 - 1164 TORN.PIA B.MOVEL C-44                         |       9- |60.54|66.59|72.7|60.54|0|0
  1989/7 - 1164 TORN.PIA B.MOVEL C40-C                        |11|89.98|98.98|108|89.98|0|0
  3751/8 - 1164 TORN.PIA MESA B.MOVEL C-44P                   |5|57.09|62.83|68.5|57.09|0|0
  2066/4 - 1167 TOR PIA FILTRO C44                            |1|113.75|125.13|136.5|113.75|0|0
  2008/4 - 1170 TORN LAV.PRESMATIC PEQ                        |       8- |149.56|164.52|179.5|149.56|0|0
  2055/8 - 1171 TORN LAV PRESMATIC                            |       7- |182.91|201.2|219.5|182.91|0|0
  2007/7 - 1172 TORN. LAV PRESMATIC                           |       2- |82.82|91.1|99.4|82.82|110.42|110.42
  2053/4 - 1173 VALV MIC PRESMATIC                            |0|82.82|91.1|99.4|82.82|0|0
  2009/1 - 1174 VALV.MICT COMUM                               |       3- |38.12|41.93|45.7|38.12|50.82|50.82
  1863/0 - 1180                                               |3|37.61|41.37|45.1|37.61|0|0
  4859/0 - 1192 TORN LAVAT MESA JR C50                        |      10- |66.53|73.18|79.8|66.53|0|0
  1992/7 - 1192 TORN. LAV.JR  C-44                            |       1- |50.67|55.74|60.8|50.67|0|0
  1991/0 - 1192 TORN. LAV.JR C-40C                            |       1- |53.95|59.35|64.7|53.95|0|0
  1993/4 - 1193 TORN.LAV C-43                                 |       6- |37.86|41.64|45.4|37.86|0|0
  1994/1 - 1193 TORN.LAVAT. C-44P                             |7|36.66|40.32|44|36.66|0|0
  4633/6 - 1193 TORN.LAVAT.MESA C-43 ABS-KIT BASICO           |10|24.7|27.17|29.6|24.7|0|0
  4857/6 - 1194 TORN LAVAT MESA C44P                          |       1- |72.02|79.22|86.4|72.02|0|0
  2076/3 - 1195 TORN LAV B MOVEL C-50                         |0|54.68|60.15|65.6|54.68|0|0
  3623/8 - 1195 TORN LAVAT MESA C-44P KIT BASICO              |9|45.52|50.2|54.6|45.52|0|0
  2001/5 - 1195 TORN. LAV B.MOVEL C-40C                       |       1- |54.68|60.15|65.6|54.68|0|0
  2002/2 - 1195 TORN. LAV B.MOVEL C-44                        |1|63.89|70.27|76.7|63.89|0|0
  4689/3 - 1195 TORN. LAV B.MOVEL C-44P                       |6|50.48|55.53|60.6|50.48|0|0
  3752/5 - 1195 TORN.LAVAT MESA BM C-43P                      |       1- |50.48|55.53|60.6|50.48|0|0
  2048/0 - 1201 DUCHA HIG 1/4 C44                             |       4- |126.69|139.36|152|126.69|0|0
  2050/3 - 1228 TORN 1/4 C44                                  |1|59.51|65.46|71.4|59.51|0|0
  2046/6 - 1229 TORN LUXO 1/4 C-43G                           |       5- |111.89|123.07|134.3|111.89|0|0
  2049/7 - 1230 TORN PIA 1/4 C-44C                            |       6- |64.2|70.62|77|64.2|0|0
  3295/7 - 1258 TORN.PIA PAREDE 1/4 VOLTA C-44                |       3- |89.62|98.59|107.5|89.62|0|0
  2051/0 - 1262 TOR PIA 1/4                                   |1|129.15|142.07|155|129.15|0|0
  1999/6 - 1262 TOR.PIA C40-C                                 |      20- |115.71|127.28|138.9|115.71|0|0
  2058/9 - 1264 TORN PIA B.MOVEL C44                          |       7- |115.68|127.25|138.8|115.68|0|0
  2000/8 - 1264 TORN.PIA B.MOVEL SUPER C40-C                  |       4- |111.41|122.55|133.7|111.41|0|0
  2052/7 - 1281 MIST PIA 1/4 C-44                             |0|196.94|216.63|236.3|196.94|0|0
  2062/6 - 1282 MIST PIA 1/4 C44                              |       5- |196.94|216.63|236.3|196.94|0|0
  2056/5 - 1294 TORN LAVAT 1/4 C-44                           |       7- |134.57|148.03|161.5|134.57|0|0
  2057/2 - 1295 TORN LAVAT 1/4                                |0|96.98|106.67|116.4|96.98|0|0
  2047/3 - 1301 DUCHA HIG C50                                 |       5- |134.57|148.03|161.5|134.57|0|0
  1343/7 - 1343                                               |0|0|0|0|0|0|0
  2063/3 - 1364 TOR PIA C-50                                  |       2- |87.69|96.46|105.2|87.69|0|0
  2065/7 - 1394 TORN LAVAT LX C43-G                           |       2- |60.27|66.3|72.3|60.27|0|0
  2064/0 - 1395 TOR LAV LX C40-C                              |1|66.29|72.92|79.6|66.29|0|0
  2003/9 - 1418 REG.PRESSAO C40-C 1/2                         |0|25.37|27.91|30.4|25.37|33.82|33.82
  2004/6 - 1418 REG.PRESSAO C40-C 3/4                         |3|27.84|30.62|33.4|27.84|37.12|37.12
  2005/3 - 1418 REG.PRESSAO C44-C 1/2                         |0|23.03|25.33|27.6|23.03|30.7|30.7
  2006/0 - 1418 REG.PRESSAO C44-C 3/4                         |0|25.02|27.52|30|25.02|33.36|33.36
  1995/8 - 1428 TOR.TANQ.XMAQ C44-P                           |      22- |68.7|75.57|82.4|68.7|0|0
  2013/8 - 1903 DUCHA FRIA FRONT LINE                         |0|73.43|80.77|88.1|73.43|97.9|97.9
   254/7 - 2 INT. SIMPLES (CLARIS)                            |     504- |8.78|9.66|10.5|8.78|0|0
   268/4 - 2 INT. SIMPLES (LUNARE)                            |4|13.64|15|16.4|13.64|0|0
  2133/3 - 2 INTERRUPTOR SIMP+1 TOMADA 20A C                  |       2- |13.47|14.82|16.2|13.47|15.85|15.85
  2120/3 - 2 INTERRUPTORES PARALELOS 10A 250V CLARIS          |0|13.06|14.36|15.7|13.06|11.38|11.38
  2136/4 - 2 INTERRUPTORES PARALELOS+1 TOM                    |9|17.54|19.29|21.1|17.54|21.92|21.92
  2134/0 - 2 INTERRUPTORES PARALELOS+1 TOM 10A                |0|17.43|19.17|20.9|17.43|20.5|20.5
