codigo,descricao,preco
00000000000232,ANULACAO DE VALOR RELATIVA A AQUISICAO DE SERVICO DE TRANSPORTE,"5,281.550",
00000000000016,APARA DE PAPELAO,0.400,
7890100002447,AVANCO AUTOMATICO PF-32 INMES 220V ,"3,390.000",INMES
00000000000031,AVANCO AUTOMATICO PF-38 INMES 220V TRIF.,"3,950.000",INMES
00000000000076,BOTAO DE EMERGENCIA GIRA P/SOLTAR 1NF FF-325,33.710,INMES
7890100002294,CINTA P/COLET.PO INMES  P03040090,27.900,INMES
7890100001457,COLAD.DE BORDA INMES IC-1000 220V,"5,500.000",INMES
00000000000051,COLAD.DE BORDA INMES IC-2000 R PLUS 220V,"23,189.890",INMES
7890100001518,COLAD.DE BORDA INMES IC-2002 R 220V,"21,993.550",INMES
7890100002188,COLAD.DE BORDA INMES IC-2003 DRP 220V,"42,542.360",INMES
7890100002966,COLAD.MAKSIWA CBC.ME MESA ESTEND.,"5,095.740",MAKSIWA
7890100002713,COLADEIRA DE BORDA MAKSIWA CBC  XX,"5,308.520",MAKSIWA
7890100002669,COLADEIRA MAKSIWA PORTATIL CBC.E (M),"3,925.540",MAKSIWA
7890100002720,COLETOR PO MAKSIVA CPD/3CT 3BC 3CV 2P,"3,290.000",MAKSIWA
7890100002737,COLETOR PO MAKSIWA CP/1.CT 1 BC 1CV 2P,"2,190.000",MAKSIWA
7890100002744,COLETOR PO MAKSIWA CP/2T 2BC 2CV 2P,"2,699.000",MAKSIWA
00000000000218,COLETOR PO PAREDE MAKSIWA CPP/1 (M) 1BC 1CV 2P MONOF.,"2,390.000",MAKSIWA
00000000000217,COLETOR PO PAREDE MAKSIWA CPP/1 (T) 1BC 1CV 2P TRIF.,"2,390.000",MAKSIWA
7890100002232,COMP.FLEXIVEL 2500X1220X03MM BALCAO,78.915,.
7890100001297,COMP.FLEXIVEL 2500X1220X06MM BALCAO,89.900,
7890100001303,COMP.FLEXIVEL 2500X1220X06MM COLUNA,89.900,
7890100002980,COMP.NAVAL PINUS CLEAR 06MM,61.900,G13
7890100002195,COMP.NAVAL PINUS CLEAR 10MM,93.900,G13
7890100002225,COMP.NAVAL PINUS CLEAR 18MM,156.900,G13
00000000000248,COMP.NAVAL PINUS CLEAR 20MM,174.900,G13
7890100000320,COMP.NAVAL VIROLA 06MM,68.900,G13
7890100000337,COMP.NAVAL VIROLA 10MM,99.900,G13
7890100000344,COMP.NAVAL VIROLA 15MM,136.900,G13
7890100000368,COMP.NAVAL VIROLA 18MM,164.900,G13
7890100000580,COMP.NAVAL VIROLA 2500 X 04MM,64.900,G13
7890100000597,COMP.NAVAL VIROLA 2500 X 06MM,78.900,G13
7890100000290,COMP.NAVAL VIROLA 2500 X 10MM,114.900,G13
7890100000306,COMP.NAVAL VIROLA 2500 X 15MM,159.900,G13
7890100000313,COMP.NAVAL VIROLA 2500 X 18MM,189.900,G13
7890100000405,COMP.PEROBA 2750 X 04MM COMERCIAL,179.000,
7890100000115,COMP.SARRAF.CURUPICHA 2200 X 15MM,174.900,
7890100000122,COMP.SARRAF.CURUPICHA 2200 X 18MM,184.900,
7890100000139,COMP.SARRAF.CURUPICHA 2750 X 15MM,234.900,
7890100000146,COMP.SARRAF.CURUPICHA 2750 X 18MM,269.000,
7890100000153,COMP.SARRAF.VIROLA 2200 X 15MM,139.000,
00000000000168,COMP.VIROLA BRANCA (PARICA) 2200 X 04MM,41.900,LUBERPLAC
00000000000169,COMP.VIROLA BRANCA (PARICA) 2200 X 06MM,56.900,LUBERPLAC
00000000000170,COMP.VIROLA BRANCA (PARICA) 2200 X 10MM,79.900,LUBERPLAC
